iter	Passed	Remaining
407	2471	3586
408	2475	3577
409	2480	3568
410	2484	3560
411	2487	3550
412	2491	3540
413	2494	3530
414	2496	3519
415	2501	3511
416	2504	3501
417	2507	3491
418	2509	3480
419	2513	3471
420	2517	3461
421	2523	3456
422	2526	3446
423	2530	3437
424	2533	3428
425	2536	3418
426	2540	3408
427	2542	3397
428	2546	3389
429	2550	3380
430	2556	3374
431	2562	3369
432	2567	3361
433	2571	3353
434	2575	3345
435	2582	3341
436	2588	3335
437	2592	3326
438	2598	3320
439	2604	3314
440	2608	3306
441	2612	3297
442	2614	3287
443	2618	3278
444	2622	3271
445	2632	3270
446	2638	3263
447	2640	3253
448	2646	3247
449	2652	3242
450	2658	3236
451	2661	3226
452	2664	3217
453	2668	3209
454	2677	3207
455	2683	3201
456	2687	3193
457	2694	3189
458	2701	3184
459	2708	3179
460	2713	3173
461	2719	3166
462	2724	3159
463	2728	3151
464	2731	3142
465	2734	3133
466	2737	3124
467	2743	3118
468	2748	3112
469	2753	3104
470	2762	3102
471	2766	3094
472	2770	3086
473	2773	3078
474	2777	3069
475	2780	3060
476	2783	3051
477	2786	3043
478	2790	3034
479	2792	3025
480	2796	3017
481	2799	3008
482	2801	2999
483	2805	2991
484	2809	2983
485	2812	2974
486	2814	2965
487	2817	2956
488	2820	2947
489	2823	2938
490	2826	2929
491	2829	2921
492	2832	2913
493	2836	2905
494	2841	2899
495	2848	2894
496	2851	2885
497	2854	2877
498	2857	2869
499	2860	2860
500	2866	2854
501	2868	2845
502	2872	2838
503	2875	2829
504	2878	2821
505	2881	2813
506	2883	2804
507	2886	2795
508	2889	2787
509	2893	2779
510	2897	2772
511	2900	2764
512	2903	2756
513	2907	2748
514	2910	2740
515	2913	2732
516	2917	2725
517	2920	2717
518	2923	2709
519	2927	2702
520	2930	2694
521	2933	2686
522	2936	2678
523	2939	2670
524	2943	2663
525	2946	2654
526	2948	2646
527	2951	2638
528	2953	2629
529	2957	2623
530	2960	2615
531	2965	2609
532	2969	2601
533	2972	2593
534	2974	2585
535	2979	2578
536	2981	2570
537	2985	2563
